Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,Silent,17647569,5648611,4588051,1060560,11998958,2433389,309822,892656,775270,117386,277516,162989,114527,1685121,219477,274030,454999,3103468,2209489,138992,1267488,1257804,831969,308965,2354,114516,9684,16380081,48553376
1989:Q3,BabyBoom,5809861,3051291,2260997,790294,2758570,510445,52447,171881,129920,41961,16350,5873,10477,374233,137857,54774,228962,378316,747981,85324,1831526,1825362,1355242,445776,2171,22173,6164,3978335,39289625
1989:Q3,GenX,131127,89447,44121,45326,41680,12633,375,4983,4654,329,0,0,0,3841,2859,28,1229,545,12153,3034,53760,53632,23943,29467,7,215,128,77367,5177100
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,17908258,5721854,4654051,1067802,12186404,2443381,315040,901527,778565,122962,293336,175873,117463,1732354,225900,281011,472661,3153646,2226232,141317,1290793,1280764,847847,315382,2299,115237,10028,16617465,48581895
1989:Q4,BabyBoom,5981687,3100321,2292701,807620,2881366,539062,61449,173880,131492,42388,21167,10790,10376,388533,142126,59857,240236,410705,757033,87319,1876068,1869647,1386810,459620,2081,21137,6420,4105620,39314788
1989:Q4,GenX,151303,97725,47564,50161,53578,17605,748,5564,5069,495,0,0,0,3907,3605,172,2298,2716,13563,3400,60683,60483,25925,34283,10,265,200,90620,5366102
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,17972076,5735148,4643231,1091917,12236928,2433390,326221,898256,778182,120074,315469,194700,120769,1681122,229881,287895,478583,3202135,2238152,145824,1310702,1300856,875014,306306,2884,116653,9847,16661373,48563739
1990:Q1,BabyBoom,6021643,3137047,2316227,820819,2884596,546597,75882,172610,131809,40801,35774,25493,10281,324902,143982,64922,234904,430867,763380,90776,1911121,1904865,1428918,449427,2555,23965,6256,4110522,39352975
1990:Q1,GenX,164965,107773,53526,54247,57192,20484,1557,6194,5552,642,0,0,0,0,4131,324,712,4940,14861,3990,68563,68370,31467,36587,19,296,193,96402,5588046
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,18195800,5802974,4708064,1094910,12392826,2424235,316400,926554,801765,124789,324106,200727,123380,1733459,234504,295203,487381,3250527,2254343,146113,1334013,1324169,898767,305454,2360,117588,9845,16861787,48501343
1990:Q2,BabyBoom,6136596,3162198,2324727,837471,2974399,555912,71587,182997,142068,40929,35782,25607,10175,343407,146800,80854,234116,456666,774540,91738,1945557,1939310,1460370,452580,2056,24304,6247,4191039,39403449
1990:Q2,GenX,178333,112377,52371,60006,65956,23813,969,6871,6011,860,0,0,0,0,4817,1111,0,7416,16665,4294,78041,77823,36780,40678,19,347,218,100292,5841384
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,18170313,5828846,4718272,1110573,12341468,2419057,325402,958426,833714,124712,334341,208174,126167,1563048,238209,301497,484401,3297576,2271295,148215,1349833,1340022,914793,306573,1026,117630,9811,16820480,48397139
1990:Q3,BabyBoom,6080675,3225460,2383126,842335,2855214,570606,84448,196929,156981,39949,38216,28146,10070,164654,148855,78001,218329,473619,787622,93935,1978335,1972115,1491918,459785,882,19530,6220,4102340,39465470
1990:Q3,GenX,201905,124574,61328,63246,77331,28114,1731,7557,6476,1081,0,0,0,0,5465,839,0,10045,18781,4799,87186,86946,40555,45944,9,438,240,114719,6124564
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,18412252,5792862,4672652,1120211,12619389,2425153,326096,1001233,851237,149996,348373,219767,128607,1690544,241904,308058,504191,3344369,2279409,150061,1358395,1348360,921755,306500,1154,118951,10035,17053857,48253561
1990:Q4,BabyBoom,6307459,3252723,2401707,851016,3054736,599213,89981,210393,166417,43976,50362,40400,9962,252318,151147,83328,233005,494550,794352,96087,2021687,2015272,1526002,466037,970,22264,6415,4285771,39538300
1990:Q4,GenX,231105,139853,72037,67816,91252,34664,1929,8618,7062,1556,0,0,0,0,6199,1052,0,12983,20466,5340,94721,94407,42054,51854,13,485,314,136384,6436036
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q1,Silent,18663240,5791768,4667350,1124418,12871472,2416940,347168,981051,822095,158956,355396,225580,129816,1867818,245504,314325,530057,3390569,2272509,150136,1355088,1345142,928671,294525,2034,119912,9946,17308152,48073044
1991:Q1,BabyBoom,6531536,3271326,2403070,868256,3260209,612623,113886,198647,154210,44437,52419,42571,9848,386448,153580,82848,258205,515451,788853,97250,2040951,2034593,1557181,452799,1664,22948,6358,4490585,39621201
1991:Q1,GenX,257677,152092,76983,75109,105584,39657,3815,9945,7977,1967,0,0,0,0,7014,897,1212,16227,21046,5771,99642,99307,43840,54883,31,553,334,158035,6774249
1991:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q2,Silent,18744826,5815020,4688786,1126234,12929806,2382870,333535,1008497,840360,168137,361227,229460,131767,1872635,249849,320673,541080,3436434,2272575,150431,1369160,1359353,948123,289793,617,120819,9807,17375666,47858021
1991:Q2,BabyBoom,6570065,3308157,2431355,876802,3261908,596486,107136,209016,164261,44755,48808,39069,9740,365715,157124,86454,262097,540316,790100,98654,2073691,2067428,1592001,451549,496,23381,6263,4496374,39713433
1991:Q2,GenX,276434,163332,82669,80663,113102,40662,2944,11177,8727,2450,0,0,0,0,8055,1004,833,19850,22304,6272,111475,111130,50525,59963,10,631,345,164959,7137654
1991:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q3,Silent,18904734,5827932,4690631,1137300,13076802,2361935,328516,1012989,855743,157246,368761,236263,132498,1967057,252313,326917,559344,3481628,2266688,150656,1380889,1371223,961852,285968,512,122891,9666,17523845,47610924
1991:Q3,BabyBoom,6747174,3366011,2484872,881140,3381162,596039,108086,215132,173640,41492,54975,45344,9631,429188,158735,88703,279510,564267,786412,100116,2086473,2080302,1596986,451442,401,31473,6171,4660701,39814258
1991:Q3,GenX,306289,179922,94887,85035,126367,44108,2732,12344,9563,2781,0,0,0,0,8885,1014,3587,23834,23047,6816,121770,121414,55664,65090,11,649,355,184519,7524699
1991:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q4,Silent,19189218,5832423,4695566,1136857,13356796,2352244,326837,1013247,857327,155920,375451,244654,130797,2189598,255568,333124,579550,3526295,2253117,151765,1401198,1391631,980203,285372,998,125058,9567,17788020,47334189
1991:Q4,BabyBoom,7071276,3417529,2528092,889437,3653746,609871,112242,216317,176487,39830,72722,63195,9527,619297,161503,91960,302521,589606,775473,102234,2128956,2122838,1624049,457828,757,40204,6118,4942320,39922939
1991:Q4,GenX,359979,198080,106927,91153,161899,50132,2820,13842,10566,3276,0,0,0,17303,9958,1095,8107,28233,22896,7514,137074,136697,63627,72381,26,663,377,222905,7933834
1991:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q1,Silent,19213547,5851980,4721570,1130410,13361567,2282192,334269,1043187,879216,163971,376235,246821,129415,2173145,258783,339251,585469,3571531,2244688,152816,1414227,1404728,1004471,273799,1184,125273,9499,17799320,47030249
1992:Q1,BabyBoom,7077096,3460204,2557752,902452,3616892,547774,125088,230052,190461,39591,57973,48543,9430,584914,164463,91768,298351,642852,769239,104419,2117510,2111412,1628832,444471,867,37243,6097,4959586,40038735
1992:Q1,GenX,370621,214566,115224,99342,156055,43403,3894,15500,11523,3977,0,0,0,10691,11141,893,5694,33392,23175,8271,151291,150882,74972,75083,37,789,408,219330,8363508
1992:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q2,Silent,19284985,5873520,4744604,1128916,13411465,2257964,321880,1033796,868471,165324,379959,252059,127900,2186927,260734,345377,596200,3634370,2240169,154090,1428336,1418889,1021892,268679,1536,126782,9448,17856648,46701537
1992:Q2,BabyBoom,7159768,3498404,2582220,916184,3661364,542574,119574,225177,187082,38095,61054,51715,9339,577590,166107,97140,303986,694502,766816,106846,2127425,2121330,1634837,442836,1079,42578,6095,5032343,40160909
1992:Q2,GenX,380598,229351,121230,108121,151247,46209,2827,17488,12804,4683,28,0,28,7021,12173,1135,5729,25662,23851,9123,166681,166234,84515,80816,59,844,447,213916,8812171
1992:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q3,Silent,19451634,5887974,4747573,1140401,13563660,2241921,314498,1043662,889214,154448,383542,257316,126226,2256359,264633,351436,611609,3697384,2243227,155388,1437698,1428284,1033809,266006,927,127542,9414,18013935,46350486
1992:Q3,BabyBoom,7407202,3595694,2677071,918623,3811508,548374,118692,236138,201569,34569,58982,49737,9244,629090,170379,100993,320730,746201,772539,109389,2166029,2159915,1669210,446778,625,43302,6114,5241172,40288723
1992:Q3,GenX,413609,252044,139345,112700,161565,51255,2191,19252,13959,5293,217,31,185,11973,13753,1254,9119,16895,25603,10052,183496,183001,92860,89149,41,951,495,230113,9278273
1992:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q4,Silent,19642038,5878656,4734779,1143877,13763382,2238114,312093,1046565,885514,161052,389531,266715,122816,2445381,264789,352408,612427,3717201,2229109,155763,1439114,1429810,1032512,266791,1308,129199,9303,18202924,45979805
1992:Q4,BabyBoom,7823464,3686913,2760107,926806,4136550,578205,107256,233757,196856,36901,56504,46043,10462,792402,176638,119749,349471,832860,777582,112126,2210875,2204626,1701086,460408,933,42199,6249,5612589,40421283
